productId,name,ticker,qsip,cusip,isin
679590,Chong Hing Bank,CGHBF,,,
1078822,Henderson Invt Ltd Ord,HDVTF,,,
2361527,I Cable Communs Ltd Ordf,ICABF,,,
543668,Cnooc,CEOHF,,,
543674,China Mobile,CHLKF,,,
554978,King Stone Energy Group Ltd,YNSKF,,,
1508816,Hysan Development Co Ltd,HYSNF,,,
1111900,China Resources Enterprises Ltd,CRHKF,,,
776929,China Unicom Hong Kong Ltd,CHUFF,,,
155991,Bank of East Asia Ltd R,BKEAF,,,
446493,Henderson Land,HLDVF,,,
468812,China Merchants Hai,CMHHF,,,
447216,Melco Intl Devel,MDEVF,,,
469880,China Power Intl,CPWIF,,,
32286,Pacific Century Cyberworks Limited,PCWLF,,,
1219381,Mtr Corp Ltd,MTRJF,,,
1052255,Sino-Ocean Land,SIOLF,,,
1306033,Intelsat SA,I,,,
1005403,Virginia Irvine- IRA,IRVI- IRA,,,
48168,Jacobs Solutions Inc,J,,,
2443159,JH Blue Chip Growth Fund,JH JIBCX,,,
2443158,JH Mid Value Fund,JH JEMUX,,,
2443225,JH Disciplined Value,JH JDVVX,,,
2443221,JH Mid Cap Index Fund,JH JECIX,,,
2089759,Call JPM Sep @ 45,.JPM  J16,,,
1625265,JH - Lord Abbett All Cap Value Fund,PDS-JH-JICVX,,,
1625266,JH - Western Asset High Yield Fund,PDS-JH-JIHDX,,,
2185839,High Alpha,JKI-HA (JKI),,,
2185847,525 North Main Street Crossing,JKI-NMAINST (JKI),,,
2214780,Whitley,JKI-WHI (JKI 2),,,
1162639,John Hancock Stable Value,GVFINANCIAL-JH JOHN H,,,
2062248,Juniper Texas City (Jamey),JUNIPER TEXAS CITY (JAMEY),,,
2071388,Juniper Goessler (J Smith),Juniper Goessler (J Smith),,,
2177101,"Juniper Portland, IND",Juniper Portland (J Smith),,,
28468,Kellanova,K,,,
2207242,Altrius Enhanced Income I,KEUIX,,,
2209079,MarketGrader 100 Enhanced Index I,KHMIX,,,
2216073,Kintera,KNTAU,,,
2307508,US Large Cap Equity Index Fund,KMHUSEQTY,,,
2307507,Short Term Interest Fund,KMHSTINT,,,
2298241,Unknown Product,KTXCA,,,
2257967,Kitov Pharmaceuticals Hldg Ltd Warrant,KTOVW,,,
2351641,Kci Konecranes Plc,KCRIF,,,
2396839,Kemper Investment Portfolios Growth Premie,KZGWX,,,
2386964,Kuka Ag Npv (Asd Mecca Inter Cash)15/7/2016,KUKKF,,,
2458892,Kings Road Entertainment Com,KREN,,,
